,inpatient_beds_used_covid
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0009876823770805245
2020-03-21,0.0009876823770805245
2020-03-22,0.0009876823770805245
2020-03-23,0.0009876823770805245
2020-03-24,0.006913776639563671
2020-03-25,0.001975364754161049
2020-03-26,0.001975364754161049
2020-03-27,0.004938411885402622
2020-03-28,0.005926094262483147
2020-03-29,0.005926094262483147
2020-03-30,0.004938411885402622
2020-03-31,0.003950729508322098
2020-04-01,0.020741329918691015
2020-04-02,0.01975364754161049
2020-04-03,0.014815235656207867
2020-04-04,0.012839870902046819
2020-04-05,0.018765965164529965
2020-04-06,0.016790600410368915
2020-04-07,0.02666742418117416
2020-04-08,0.02666742418117416
2020-04-09,0.02666742418117416
2020-04-10,0.014815235656207867
2020-04-11,0.02864278893533521
2020-04-12,0.023704377049932588
2020-04-13,0.027655106558254684
2020-04-14,0.04148265983738203
2020-04-15,0.04247034221446255
2020-04-16,0.03654424795197941
2020-04-17,0.031605836066576784
2020-04-18,0.03654424795197941
2020-04-19,0.03950729508322098
2020-04-20,0.034568883197818354
2020-04-21,0.03358120082073783
2020-04-22,0.04049497746030151
2020-04-23,0.03654424795197941
2020-04-24,0.029630471312415734
2020-04-25,0.027655106558254684
2020-04-26,0.03753193032905993
2020-04-27,0.03753193032905993
2020-04-28,0.035556565574898884
2020-04-29,0.023704377049932588
2020-04-30,0.031605836066576784
2020-05-01,0.029630471312415734
2020-05-02,0.03259351844365731
2020-05-03,0.03358120082073783
2020-05-04,0.02469205942701311
2020-05-05,0.027655106558254684
2020-05-06,0.02469205942701311
2020-05-07,0.015802918033288392
2020-05-08,0.020741329918691015
2020-05-09,0.020741329918691015
2020-05-10,0.02864278893533521
2020-05-11,0.02271669467285206
2020-05-12,0.031605836066576784
2020-05-13,0.030618153689496257
2020-05-14,0.027655106558254684
2020-05-15,0.030618153689496257
2020-05-16,0.02864278893533521
2020-05-17,0.030618153689496257
2020-05-18,0.014815235656207867
2020-05-19,0.014815235656207867
2020-05-20,0.014815235656207867
2020-05-21,0.01975364754161049
2020-05-22,0.015802918033288392
2020-05-23,0.016790600410368915
2020-05-24,0.02271669467285206
2020-05-25,0.01975364754161049
2020-05-26,0.017778282787449442
2020-05-27,0.011852188524966294
2020-05-28,0.015802918033288392
2020-05-29,0.011852188524966294
2020-05-30,0.010864506147885769
2020-05-31,0.008889141393724721
2020-06-01,0.016790600410368915
2020-06-02,0.015802918033288392
2020-06-03,0.010864506147885769
2020-06-04,0.025679741804093638
2020-06-05,0.027655106558254684
2020-06-06,0.025679741804093638
2020-06-07,0.020741329918691015
2020-06-08,0.021729012295771538
2020-06-09,0.021729012295771538
2020-06-10,0.015802918033288392
2020-06-11,0.016790600410368915
2020-06-12,0.02864278893533521
2020-06-13,0.029630471312415734
2020-06-14,0.02666742418117416
2020-06-15,0.034568883197818354
2020-06-16,0.03753193032905993
2020-06-17,0.023704377049932588
2020-06-18,0.021729012295771538
2020-06-19,0.02271669467285206
2020-06-20,0.02271669467285206
2020-06-21,0.02271669467285206
2020-06-22,0.016790600410368915
2020-06-23,0.017778282787449442
2020-06-24,0.015802918033288392
2020-06-25,0.013827553279127342
2020-06-26,0.006913776639563671
2020-06-27,0.015802918033288392
2020-06-28,0.012839870902046819
2020-06-29,0.010864506147885769
2020-06-30,0.011852188524966294
2020-07-01,0.020741329918691015
2020-07-02,0.01975364754161049
2020-07-03,0.017778282787449442
2020-07-04,0.014815235656207867
2020-07-05,0.017778282787449442
2020-07-06,0.02271669467285206
2020-07-07,0.017778282787449442
2020-07-08,0.020741329918691015
2020-07-09,0.027655106558254684
2020-07-10,0.02469205942701311
2020-07-11,0.016790600410368915
2020-07-12,0.015802918033288392
2020-07-13,0.007901459016644196
2020-07-14,0.008889141393724721
2020-07-15,0.016790600410368915
2020-07-16,0.010864506147885769
2020-07-17,0.027655106558254684
2020-07-18,0.025679741804093638
2020-07-19,0.016790600410368915
2020-07-20,0.02666742418117416
2020-07-21,0.02469205942701311
2020-07-22,0.035556565574898884
2020-07-23,0.04247034221446255
2020-07-24,0.03259351844365731
2020-07-25,0.016790600410368915
2020-07-26,0.017778282787449442
2020-07-27,0.02666742418117416
2020-07-28,0.03358120082073783
2020-07-29,0.031605836066576784
2020-07-30,0.034568883197818354
2020-07-31,0.047408754099865176
2020-08-01,0.04543338934570412
2020-08-02,0.043458024591543076
2020-08-03,0.034568883197818354
2020-08-04,0.03851961270614045
2020-08-05,0.034568883197818354
2020-08-06,0.043458024591543076
2020-08-07,0.04148265983738203
2020-08-08,0.0444457069686236
2020-08-09,0.04247034221446255
2020-08-10,0.03950729508322098
2020-08-11,0.03358120082073783
2020-08-12,0.030618153689496257
2020-08-13,0.027655106558254684
2020-08-14,0.04148265983738203
2020-08-15,0.0444457069686236
2020-08-16,0.01975364754161049
2020-08-17,0.02469205942701311
2020-08-18,0.023704377049932588
2020-08-19,0.029630471312415734
2020-08-20,0.03358120082073783
2020-08-21,0.034568883197818354
2020-08-22,0.021729012295771538
2020-08-23,0.02666742418117416
2020-08-24,0.03259351844365731
2020-08-25,0.03259351844365731
2020-08-26,0.016790600410368915
2020-08-27,0.016790600410368915
2020-08-28,0.02666742418117416
2020-08-29,0.014815235656207867
2020-08-30,0.014815235656207867
2020-08-31,0.009876823770805244
2020-09-01,0.017778282787449442
2020-09-02,0.02271669467285206
2020-09-03,0.027655106558254684
2020-09-04,0.034568883197818354
2020-09-05,0.03259351844365731
2020-09-06,0.030618153689496257
2020-09-07,0.03259351844365731
2020-09-08,0.020741329918691015
2020-09-09,0.02864278893533521
2020-09-10,0.02864278893533521
2020-09-11,0.030618153689496257
2020-09-12,0.03259351844365731
2020-09-13,0.035556565574898884
2020-09-14,0.027655106558254684
2020-09-15,0.03259351844365731
2020-09-16,0.023704377049932588
