,doses_admin_daily,7_day_avg
2020-12-10,0.0,0.0
2020-12-11,0.0,0.0
2020-12-12,0.0,0.0
2020-12-13,0.0,454.7142857142857
2020-12-14,0.0,1394.142857142857
2020-12-15,0.0,2649.714285714286
2020-12-16,3183.0,3216.4285714285716
2020-12-17,6576.0,3419.285714285714
2020-12-18,8789.0,4388.0
2020-12-19,3967.0,5074.857142857143
2020-12-20,1420.0,7517.142857142857
2020-12-21,6781.0,7100.428571428572
2020-12-22,4808.0,5886.428571428572
2020-12-23,20279.0,5678.857142857143
2020-12-24,3659.0,5661.714285714285
2020-12-25,291.0,5796.714285714285
2020-12-26,2514.0,6146.428571428572
2020-12-27,1300.0,3249.4285714285716
2020-12-28,7726.0,2726.714285714286
2020-12-29,7256.0,2685.1428571428573
2020-12-30,0.0,2326.0
2020-12-31,0.0,2140.285714285714
2021-01-01,0.0,1036.5714285714287
2021-01-02,0.0,0.0
2021-01-03,0.0,0.0
2021-01-04,0.0,8923.57142857143
2021-01-05,0.0,8923.57142857143
2021-01-06,0.0,8923.57142857143
2021-01-07,62465.0,8923.57142857143
2021-01-08,0.0,8923.57142857143
2021-01-09,0.0,8923.57142857143
2021-01-10,0.0,8923.57142857143
2021-01-11,0.0,14009.42857142857
2021-01-12,0.0,14009.42857142857
2021-01-13,0.0,14009.42857142857
2021-01-14,98066.0,14009.42857142857
2021-01-15,0.0,14009.42857142857
2021-01-16,0.0,14009.42857142857
2021-01-17,0.0,14009.42857142857
2021-01-18,0.0,0.0
2021-01-19,0.0,17249.285714285714
2021-01-20,0.0,17249.285714285714
2021-01-21,0.0,17249.285714285714
2021-01-22,120745.0,17249.285714285714
2021-01-23,0.0,17249.285714285714
2021-01-24,0.0,17249.285714285714
2021-01-25,0.0,17249.285714285714
2021-01-26,0.0,19454.85714285714
2021-01-27,0.0,19454.85714285714
2021-01-28,0.0,19454.85714285714
2021-01-29,136184.0,19454.85714285714
2021-01-30,0.0,19454.85714285714
2021-01-31,0.0,37936.857142857145
2021-02-01,0.0,37936.857142857145
2021-02-02,0.0,26481.285714285714
2021-02-03,129374.0,26995.85714285714
2021-02-04,0.0,33002.42857142857
2021-02-05,55995.0,40595.0
2021-02-06,3602.0,44324.71428571428
2021-02-07,42046.0,40705.0
2021-02-08,53148.0,46434.0
2021-02-09,26108.0,43757.42857142857
2021-02-10,104036.0,49849.142857142855
2021-02-11,40103.0,50809.28571428572
2021-02-12,37259.0,48300.857142857145
2021-02-13,46244.0,48150.57142857143
2021-02-14,48767.0,36586.28571428572
2021-02-15,35589.0,37014.142857142855
2021-02-16,25056.0,39926.857142857145
2021-02-17,23086.0,41376.857142857145
2021-02-18,43098.0,41807.71428571428
2021-02-19,57648.0,44019.71428571428
2021-02-20,56394.0,50949.57142857143
2021-02-21,51783.0,47651.57142857143
2021-02-22,51073.0,46274.28571428572
2021-02-23,73565.0,44199.28571428572
2021-02-24,0.0,43114.71428571428
2021-02-25,33457.0,44128.857142857145
2021-02-26,43123.0,44280.71428571428
2021-02-27,48802.0,43350.142857142855
2021-02-28,58882.0,48248.42857142857
2021-03-01,52136.0,50086.42857142857
2021-03-02,67051.0,52051.57142857143
2021-03-03,34288.0,54334.42857142857
2021-03-04,46323.0,56815.857142857145
2021-03-05,56879.0,66087.0
2021-03-06,64782.0,56508.28571428572
2021-03-07,76252.0,55952.42857142857
2021-03-08,117034.0,61396.71428571428
2021-03-09,0.0,62186.28571428572
2021-03-10,30397.0,62517.0
2021-03-11,84433.0,68528.14285714286
2021-03-12,62406.0,51809.0
2021-03-13,67097.0,60226.42857142857
2021-03-14,118330.0,57716.42857142857
2021-03-15,0.0,56612.42857142857
2021-03-16,58922.0,56745.71428571428
2021-03-17,12827.0,56360.28571428572
2021-03-18,76705.0,49638.57142857143
2021-03-19,63339.0,58725.28571428572
2021-03-20,64399.0,58903.57142857143
2021-03-21,71278.0,61802.42857142857
2021-03-22,63607.0,60173.71428571428
2021-03-23,60170.0,60358.28571428572
2021-03-24,33119.0,61836.42857142857
2021-03-25,65304.0,62288.57142857143
2021-03-26,64631.0,64489.57142857143
2021-03-27,74746.0,66047.85714285714
2021-03-28,74443.0,67100.42857142857
2021-03-29,79014.0,68521.14285714286
2021-03-30,71078.0,69876.57142857143
2021-03-31,40487.0,71512.0
2021-04-01,75249.0,74775.57142857143
2021-04-02,74119.0,77725.57142857143
2021-04-03,86194.0,78064.85714285714
2021-04-04,97288.0,77708.0
2021-04-05,99664.0,78692.28571428571
2021-04-06,73453.0,94381.57142857143
2021-04-07,37989.0,98557.57142857143
2021-04-08,82139.0,100158.42857142857
2021-04-09,183944.0,97626.28571428571
2021-04-10,115426.0,95192.71428571429
2021-04-11,108494.0,102932.42857142857
2021-04-12,81939.0,104739.14285714286
2021-04-13,56418.0,92294.14285714286
2021-04-14,92167.0,88428.0
2021-04-15,94786.0,85819.42857142857
2021-04-16,96829.0,84367.71428571429
2021-04-17,88363.0,83606.57142857143
2021-04-18,90234.0,81813.0
2021-04-19,71777.0,81781.57142857143
2021-04-20,51090.0,81626.0
2021-04-21,79612.0,84555.0
2021-04-22,94566.0,86609.71428571429
2021-04-23,95740.0,87604.14285714286
2021-04-24,108866.0,88471.14285714286
2021-04-25,104617.0,89657.42857142857
2021-04-26,78738.0,88515.71428571429
2021-04-27,57159.0,87364.71428571429
2021-04-28,87916.0,86321.71428571429
2021-04-29,86574.0,84036.0
2021-04-30,87683.0,78245.85714285714
2021-05-01,101565.0,70080.28571428571
2021-05-02,88617.0,70760.71428571429
2021-05-03,38207.0,71626.71428571429
2021-05-04,0.0,73707.57142857143
2021-05-05,92679.0,72713.28571428571
2021-05-06,92636.0,70522.57142857143
2021-05-07,102249.0,75533.85714285714
2021-05-08,94605.0,83324.0
2021-05-09,73282.0,78251.71428571429
2021-05-10,73286.0,73544.85714285714
2021-05-11,54531.0,66502.71428571429
2021-05-12,57173.0,62800.0
2021-05-13,59688.0,62241.0
2021-05-14,52954.0,59190.42857142857
2021-05-15,68686.0,55172.28571428572
2021-05-16,69369.0,53045.857142857145
2021-05-17,51932.0,54996.71428571428
2021-05-18,26404.0,56719.0
2021-05-19,42288.0,59786.42857142857
2021-05-20,73344.0,57124.857142857145
2021-05-21,65010.0,54722.71428571428
2021-05-22,90158.0,54424.42857142857
2021-05-23,50738.0,54321.28571428572
2021-05-24,35117.0,51561.0
2021-05-25,24316.0,50643.71428571428
2021-05-26,41566.0,44058.0
2021-05-27,54022.0,42722.0
2021-05-28,58589.0,44623.25
